"Age","Gender","HCCI_category","HCCI_subcategory","Year","spending_per_member","OOP_spending_per_member","adjusted_price","adjusted_utilization_per_1000","annual_pct_change_spending_per_member","annual_pct_change_adjusted_price","annual_pct_change_adjusted_utilization_per_1000"
"0-3","Male","RX","Anti-Infectives",2015,0.05,0.014,273.285,0.172,-0.27,0.603,-0.545
"0-3","Male","RX","Anti-Infectives",2016,0.01,0.003,137.493,0.042,-0.876,-0.497,-0.753
"0-3","Male","RX","Anti-Infectives",2017,0,0.003,157.256,0.028,-0.235,0.144,-0.331
"0-3","Male","RX","Antihistamines",2014,0.01,0.006,102.96,0.111,0,0,0
"0-3","Male","RX","Antihistamines",2015,0,0.001,86.008,0.032,-0.764,-0.165,-0.717
"0-3","Male","RX","Antihistamines",2016,0,0,92.232,0.003,-0.883,0.072,-0.891
"0-3","Male","RX","Antihistamines",2017,0,0,18.763,0.007,-0.61,-0.797,0.917
"0-3","Male","RX","Autonomic",2014,0.01,0.005,52.978,0.167,0,0,0
"0-3","Male","RX","Autonomic",2015,0.01,0.003,49.531,0.135,-0.247,-0.065,-0.195
"0-3","Male","RX","Autonomic",2016,0,0.001,47.365,0.03,-0.786,-0.044,-0.777
"0-3","Male","RX","Autonomic",2017,0,0.001,67.063,0.016,-0.243,0.416,-0.466
"0-3","Male","RX","Blood",2014,0,0,27.032,0.006,0,0,0
"0-3","Male","RX","Blood",2015,0,0,86.524,0.003,0.618,2.201,-0.495
"0-3","Male","RX","Cardiovascular",2014,0.03,0.016,63.708,0.534,0,0,0
"0-3","Male","RX","Cardiovascular",2015,0.01,0.004,62.793,0.135,-0.751,-0.014,-0.748
"0-3","Male","RX","Cardiovascular",2016,0,0,102.393,0.017,-0.795,0.631,-0.874
"0-3","Male","RX","Cardiovascular",2017,0.01,0.002,45.32,0.108,1.837,-0.557,5.409
"0-3","Male","RX","Central Nervous System",2014,0.01,0.007,73.927,0.192,0,0,0
"0-3","Male","RX","Central Nervous System",2015,0.01,0.003,40.775,0.136,-0.609,-0.448,-0.292
"0-3","Male","RX","Central Nervous System",2016,0.01,0.001,129.587,0.04,-0.07,2.178,-0.707
"0-3","Male","RX","Central Nervous System",2017,0,0.001,58.359,0.069,-0.216,-0.55,0.741
"0-3","Male","RX","Chemotherapy",2014,0,0.001,65.12,0.043,0,0,0
"0-3","Male","RX","Chemotherapy",2015,0,0.001,68.389,0.015,-0.638,0.05,-0.655
"0-3","Male","RX","Chemotherapy",2016,0,0.001,96.958,0.009,-0.179,0.418,-0.421
"0-3","Male","RX","Chemotherapy",2017,0,0,9.65,0.003,-0.97,-0.9,-0.7
"0-3","Male","RX","Devices",2014,1.27,0.813,56.875,22.338,0,0,0
"0-3","Male","RX","Devices",2015,1.38,0.854,59.68,23.07,0.084,0.049,0.033
"0-3","Male","RX","Devices",2016,1.27,0.808,58.057,21.786,-0.081,-0.027,-0.056
"0-3","Male","RX","Devices",2017,1.37,0.597,72.425,18.966,0.086,0.247,-0.129
"0-3","Male","RX","Diagnostic",2014,0.67,0.081,214.778,3.102,0,0,0
"0-3","Male","RX","Diagnostic",2015,0.69,0.079,228.452,3.012,0.033,0.064,-0.029
"0-3","Male","RX","Diagnostic",2016,0.63,0.062,223.609,2.833,-0.079,-0.021,-0.059
"0-3","Male","RX","Diagnostic",2017,0.68,0.081,237.444,2.844,0.066,0.062,0.004
"0-3","Male","RX","EENT",2014,0,0,774.9,0,0,0,0
"0-3","Male","RX","EENT",2015,0,0,192.058,0.002,15.232,-0.752,64.493
"0-3","Male","RX","EENT",2016,0,0,37.2,0.001,-0.938,-0.806,-0.679
"0-3","Male","RX","Gastrointestinal",2014,0.18,0.083,54.311,3.362,0,0,0
"0-3","Male","RX","Gastrointestinal",2015,0.13,0.068,53.41,2.396,-0.299,-0.017,-0.287
"0-3","Male","RX","Gastrointestinal",2016,0.06,0.02,51.059,1.125,-0.551,-0.044,-0.53
"0-3","Male","RX","Gastrointestinal",2017,0.07,0.025,51.451,1.308,0.172,0.008,0.163
"0-3","Male","RX","Heavy Metal Antagonists",2014,0,0,86.471,0.006,0,0,0
"0-3","Male","RX","Heavy Metal Antagonists",2015,0,0,27.039,0.003,-0.865,-0.687,-0.57
"0-3","Male","RX","Heavy Metal Antagonists",2016,0,0,60,0.002,0.698,1.219,-0.235
"0-3","Male","RX","Hormones",2014,0.2,0.088,515.21,0.38,0,0,0
"0-3","Male","RX","Hormones",2015,0.01,0.004,87.722,0.094,-0.958,-0.83,-0.752
"0-3","Male","RX","Hormones",2016,0,0.001,33.888,0.02,-0.917,-0.614,-0.786
"0-3","Male","RX","Hormones",2017,0,0.001,29.072,0.037,0.579,-0.142,0.841
"0-3","Male","RX","Metabolic",2014,0.03,0.011,88.503,0.301,0,0,0
"0-3","Male","RX","Metabolic",2015,0.01,0.007,51.521,0.266,-0.487,-0.418,-0.118
"0-3","Male","RX","Metabolic",2016,0,0.002,25.178,0.116,-0.786,-0.511,-0.562
"0-3","Male","RX","Metabolic",2017,0.01,0.001,75.083,0.153,2.925,1.982,0.316
"0-3","Male","RX","Miscellaneous",2014,1,0.56,66.914,14.99,0,0,0
"0-3","Male","RX","Miscellaneous",2015,1.17,0.64,66.546,17.628,0.169,-0.005,0.176
"0-3","Male","RX","Miscellaneous",2016,0.28,0.137,56.921,4.878,-0.763,-0.145,-0.723
"0-3","Male","RX","Miscellaneous",2017,0.21,0.108,30.67,6.944,-0.233,-0.461,0.423
"0-3","Male","RX","Respiratory",2014,0,0,64.419,0.003,0,0,0
"0-3","Male","RX","Respiratory",2015,0,0,84.363,0.003,0.296,0.31,-0.01
"0-3","Male","RX","Respiratory",2016,0,0,132.964,0.001,-0.576,0.576,-0.731
"0-3","Male","RX","Respiratory",2017,0,0,14.21,0.002,-0.819,-0.893,0.695
"0-3","Male","RX","Skin",2014,0.06,0.015,82.827,0.666,0,0,0
"0-3","Male","RX","Skin",2015,0.02,0.013,44.903,0.513,-0.582,-0.458,-0.23
"0-3","Male","RX","Skin",2016,0.01,0.009,25.953,0.497,-0.441,-0.422,-0.032
"0-3","Male","RX","Skin",2017,0.01,0.004,21.447,0.404,-0.328,-0.174,-0.187
"0-3","Male","RX","Smooth Muscle Relaxants",2014,0,0,2.56,0.003,0,0,0
"0-3","Male","RX","Smooth Muscle Relaxants",2015,0,0,1,0.007,-0.066,-0.609,1.39
"0-3","Male","RX","Vitamins",2014,0.01,0.005,76.963,0.163,0,0,0
"0-3","Male","RX","Vitamins",2015,0.01,0.004,86.226,0.127,-0.124,0.12,-0.218
"0-3","Male","RX","Vitamins",2016,0.01,0.002,168.456,0.056,-0.136,0.954,-0.558
"0-3","Male","RX","Vitamins",2017,0,0.001,37.306,0.098,-0.616,-0.779,0.734
"4-8","Female","IP","All Inpatient",2014,213.21,9.381,22317.34,9.553,0,0,0
"4-8","Female","IP","All Inpatient",2015,228.25,9.335,24638.28,9.264,0.071,0.104,-0.03
"4-8","Female","IP","All Inpatient",2016,207.61,9.05,24399.15,8.509,-0.09,-0.01,-0.082
"4-8","Female","IP","All Inpatient",2017,216.38,8.464,25396.24,8.52,0.042,0.041,0.001
"4-8","Female","IP","Hospice",2014,0.25,0.007,14271.57,0.017,0,0,0
"4-8","Female","IP","Hospice",2015,0.48,0.016,8568.02,0.056,0.931,-0.4,2.216
"4-8","Female","IP","Hospice",2016,0.73,0.034,13905.88,0.052,0.51,0.623,-0.07
"4-8","Female","IP","Hospice",2017,0.64,0.029,19832.72,0.032,-0.119,0.426,-0.383
"4-8","Female","IP","Labor/Delivery/Newborns",2014,0.03,0.003,6005.12,0.006,0,0,0
"4-8","Female","IP","Labor/Delivery/Newborns",2015,0,0.001,3301.22,0.001,-0.907,-0.45,-0.831
"4-8","Female","IP","Labor/Delivery/Newborns",2016,0.01,0,14977.18,0.001,2.838,3.537,-0.154
"4-8","Female","IP","Labor/Delivery/Newborns",2017,0,0.003,1859.8,0.002,-0.733,-0.876,1.154
"4-8","Female","IP","Medical",2014,124.09,7.083,17249.55,7.194,0,0,0
"4-8","Female","IP","Medical",2015,126.8,6.977,18811.9,6.74,0.022,0.091,-0.063
"4-8","Female","IP","Medical",2016,125.96,6.679,19703.39,6.393,-0.007,0.047,-0.052
"4-8","Female","IP","Medical",2017,115.77,6.268,19270.13,6.008,-0.081,-0.022,-0.06
"4-8","Female","IP","Mental Health",2014,1.97,0.184,9263.02,0.212,0,0,0
"4-8","Female","IP","Mental Health",2015,2.59,0.261,11698.87,0.221,0.318,0.263,0.044
"4-8","Female","IP","Mental Health",2016,2.23,0.166,13069.25,0.171,-0.138,0.117,-0.229
"4-8","Female","IP","Mental Health",2017,2.16,0.224,10804.1,0.199,-0.035,-0.173,0.168
"4-8","Female","IP","Other",2014,0.23,0.048,2217.41,0.103,0,0,0
"4-8","Female","IP","Other",2015,0.48,0.056,3896.44,0.123,1.086,0.757,0.187
"4-8","Female","IP","Other",2016,0.72,0.046,6754.2,0.106,0.495,0.733,-0.138
"4-8","Female","IP","Other",2017,0.36,0.037,3667.93,0.099,-0.491,-0.457,-0.063
"4-8","Female","IP","SNF",2014,0.33,0.017,7307.59,0.045,0,0,0
"4-8","Female","IP","SNF",2015,0.12,0.012,3694.43,0.031,-0.652,-0.494,-0.312
"4-8","Female","IP","SNF",2016,0.26,0.016,2151.77,0.119,1.215,-0.418,2.804
"4-8","Female","IP","SNF",2017,0.07,0.004,1889.08,0.036,-0.734,-0.122,-0.697
"4-8","Female","IP","Substance Use",2015,0.02,0,0,0,0,0,0
"4-8","Female","IP","Substance Use",2017,0.03,0.007,0,0,0,0,0
"4-8","Female","IP","Surgical",2014,86.31,2.04,43690.79,1.975,0,0,0
"4-8","Female","IP","Surgical",2015,97.77,2.013,48598.2,2.012,0.133,0.112,0.018
"4-8","Female","IP","Surgical",2016,77.71,2.109,43840.15,1.773,-0.205,-0.098,-0.119
"4-8","Female","IP","Surgical",2017,97.36,1.891,50526.15,1.927,0.253,0.153,0.087
"4-8","Female","OP","All Outpatient",2014,446.17,103.303,466.29,956.851,0,0,0
"4-8","Female","OP","All Outpatient",2015,469.9,111.123,477.446,984.186,0.053,0.024,0.029
"4-8","Female","OP","All Outpatient",2016,496.47,121.049,483.552,1026.71,0.057,0.012,0.045
"4-8","Female","OP","All Outpatient",2017,523.49,127.214,512.272,1021.9,0.054,0.058,-0.002
"4-8","Female","OP","All Outpatient Procedures",2014,147.44,32.409,189.484,778.088,0,0,0
"4-8","Female","OP","All Outpatient Procedures",2015,152.83,34.072,189.617,805.982,0.037,0.001,0.036
"4-8","Female","OP","All Outpatient Procedures",2016,160.67,36.52,186.031,863.649,0.051,-0.019,0.072
"4-8","Female","OP","All Outpatient Procedures",2017,168.56,38.561,187.5,899.002,0.049,0.008,0.041
"4-8","Female","OP","Ambulance",2014,11.61,1.553,850.897,13.648,0,0,0
"4-8","Female","OP","Ambulance",2015,12.07,1.6,837.978,14.403,0.039,-0.015,0.055
"4-8","Female","OP","Ambulance",2016,12.69,1.581,892.281,14.218,0.051,0.065,-0.013
"4-8","Female","OP","Ambulance",2017,12.87,1.631,913.297,14.095,0.015,0.024,-0.009
"4-8","Female","OP","DME",2014,16.68,3.885,151.227,110.301,0,0,0
"4-8","Female","OP","DME",2015,17.84,4.219,154.323,115.606,0.07,0.02,0.048
"4-8","Female","OP","DME",2016,18.67,4.32,142.334,131.16,0.046,-0.078,0.135
"4-8","Female","OP","DME",2017,18.85,4.292,138.724,135.895,0.01,-0.025,0.036
"4-8","Female","OP","Lab",2014,22.53,6.242,71.445,315.317,0,0,0
"4-8","Female","OP","Lab",2015,23.1,6.432,66.73,346.106,0.025,-0.066,0.098
"4-8","Female","OP","Lab",2016,23.08,6.874,64.406,358.387,-0.001,-0.035,0.035
"4-8","Female","OP","Lab",2017,24.7,7.501,66.626,370.765,0.07,0.034,0.035
"4-8","Female","OP","Other Outpatient",2014,59.56,12.046,226.615,262.834,0,0,0
"4-8","Female","OP","Other Outpatient",2015,60.86,12.412,228.209,266.7,0.022,0.007,0.015
"4-8","Female","OP","Other Outpatient",2016,66.37,13.831,238.816,277.893,0.09,0.046,0.042
"4-8","Female","OP","Other Outpatient",2017,73.16,14.921,239.941,304.907,0.102,0.005,0.097
"4-8","Female","OP","Radiology",2014,37.05,8.683,487.594,75.988,0,0,0
"4-8","Female","OP","Radiology",2015,38.96,9.409,505.877,77.014,0.052,0.037,0.014
"4-8","Female","OP","Radiology",2016,39.86,9.914,501.482,79.491,0.023,-0.009,0.032
"4-8","Female","OP","Radiology",2017,38.98,10.216,517.027,75.385,-0.022,0.031,-0.052
"4-8","Female","OP","All Outpatient Visits",2014,298.74,70.894,1671.12,178.763,0,0,0
"4-8","Female","OP","All Outpatient Visits",2015,317.07,77.051,1729.21,183.36,0.061,0.035,0.026
"4-8","Female","OP","All Outpatient Visits",2016,335.8,84.529,1774.61,189.225,0.059,0.026,0.032
"4-8","Female","OP","All Outpatient Visits",2017,354.93,88.653,1920.69,184.793,0.057,0.082,-0.023
"4-8","Female","OP","ER",2014,144.2,44.023,1031.27,139.828,0,0,0
"4-8","Female","OP","ER",2015,154.39,48.58,1089.85,141.661,0.071,0.057,0.013
"4-8","Female","OP","ER",2016,163.01,52.419,1142.04,142.734,0.056,0.048,0.008
"4-8","Female","OP","ER",2017,171.15,56.265,1201.53,142.443,0.05,0.052,-0.002
"4-8","Female","OP","Observation",2014,9.25,1.406,1883.45,4.913,0,0,0
"4-8","Female","OP","Observation",2015,10.66,1.502,2011.26,5.301,0.152,0.068,0.079
"4-8","Female","OP","Observation",2016,9.87,1.455,1988.38,4.961,-0.075,-0.011,-0.064
"4-8","Female","OP","Observation",2017,12.7,1.579,2486.1,5.108,0.287,0.25,0.029
"4-8","Female","OP","Surgery",2014,145.28,25.465,4270.19,34.022,0,0,0
"4-8","Female","OP","Surgery",2015,152.02,26.968,4334.66,35.07,0.046,0.015,0.031
"4-8","Female","OP","Surgery",2016,162.93,30.655,4427.76,36.797,0.072,0.021,0.049
"4-8","Female","OP","Surgery",2017,171.08,30.808,4826.07,35.449,0.05,0.09,-0.037
"4-8","Female","PH","Administered Drugs",2014,16.9,0.918,278.365,60.723,0,0,0
"4-8","Female","PH","Administered Drugs",2015,17.98,0.992,305.034,58.943,0.064,0.096,-0.029
"4-8","Female","PH","Administered Drugs",2016,18.76,0.986,401.945,46.677,0.044,0.318,-0.208
"4-8","Female","PH","Administered Drugs",2017,28.82,1.054,565.528,50.96,0.536,0.407,0.092
"4-8","Female","PH","Administration of Drugs",2014,32.07,0.844,36.145,887.303,0,0,0
"4-8","Female","PH","Administration of Drugs",2015,33.47,1.125,38.239,875.156,0.043,0.058,-0.014
"4-8","Female","PH","Administration of Drugs",2016,36.33,1.033,41.368,878.318,0.086,0.082,0.004
"4-8","Female","PH","Administration of Drugs",2017,37.49,1.041,42.543,881.092,0.032,0.028,0.003
"4-8","Female","PH","All Professional Services",2014,723.98,173.69,78.901,9175.8,0,0,0
"4-8","Female","PH","All Professional Services",2015,750.77,184.219,80.268,9353.34,0.037,0.017,0.019
"4-8","Female","PH","All Professional Services",2016,783.66,195.816,81.805,9579.67,0.044,0.019,0.024
"4-8","Female","PH","All Professional Services",2017,833.17,203.979,83.928,9927.18,0.063,0.026,0.036
"4-8","Female","PH","Anesthesia",2014,29.52,6.128,640.629,46.076,0,0,0
"4-8","Female","PH","Anesthesia",2015,30.66,6.363,636.582,48.17,0.039,-0.006,0.045
"4-8","Female","PH","Anesthesia",2016,31.74,6.875,630.702,50.324,0.035,-0.009,0.045
"4-8","Female","PH","Anesthesia",2017,32.49,7.131,641.919,50.606,0.023,0.018,0.006
"4-8","Female","PH","ER",2014,36.74,8.089,285.772,128.549,0,0,0
"4-8","Female","PH","ER",2015,39.66,9.185,296.776,133.625,0.08,0.039,0.039
"4-8","Female","PH","ER",2016,40.38,9.985,306.726,131.642,0.018,0.034,-0.015
"4-8","Female","PH","ER",2017,40.84,10.433,308.135,132.543,0.011,0.005,0.007
"4-8","Female","PH","Immunizations",2014,47.68,0.453,53.979,883.321,0,0,0
"4-8","Female","PH","Immunizations",2015,49.6,0.47,57.118,868.347,0.04,0.058,-0.017
"4-8","Female","PH","Immunizations",2016,50.89,0.444,60.274,844.357,0.026,0.055,-0.028
"4-8","Female","PH","Immunizations",2017,53.21,0.42,62.952,845.163,0.045,0.044,0.001
"4-8","Female","PH","Lab",2014,28.32,9.097,17.386,1628.86,0,0,0
"4-8","Female","PH","Lab",2015,28.82,9.654,17.598,1637.43,0.018,0.012,0.005
"4-8","Female","PH","Lab",2016,30.01,10.324,17.568,1708.01,0.041,-0.002,0.043
"4-8","Female","PH","Lab",2017,32.2,11.417,17.283,1863.17,0.073,-0.016,0.091
"4-8","Female","PH","Office Visits",2014,280.02,85.227,102.705,2726.48,0,0,0
"4-8","Female","PH","Office Visits",2015,289.47,89.65,105.451,2745.08,0.034,0.027,0.007
"4-8","Female","PH","Office Visits",2016,301.54,94.591,107.895,2794.73,0.042,0.023,0.018
"4-8","Female","PH","Office Visits",2017,313.06,97.201,110.478,2833.68,0.038,0.024,0.014
"4-8","Female","PH","Other Services",2014,142.3,27.728,76.84,1851.92,0,0,0
"4-8","Female","PH","Other Services",2015,143.92,29.825,74.647,1927.96,0.011,-0.029,0.041
"4-8","Female","PH","Other Services",2016,153.25,32.415,74.936,2045.04,0.065,0.004,0.061
"4-8","Female","PH","Other Services",2017,167.77,34.984,75.568,2220.13,0.095,0.008,0.086
"4-8","Female","PH","Physical Medicine",2014,17.36,6.728,54.777,316.829,0,0,0
"4-8","Female","PH","Physical Medicine",2015,17.41,6.885,53.77,323.704,0.003,-0.018,0.022
"4-8","Female","PH","Physical Medicine",2016,18.53,7.294,55.423,334.406,0.065,0.031,0.033
"4-8","Female","PH","Physical Medicine",2017,19.25,7.631,55.927,344.188,0.039,0.009,0.029
"4-8","Female","PH","Psychiatry",2014,20.85,8.496,95.659,218.004,0,0,0
"4-8","Female","PH","Psychiatry",2015,24.56,9.031,94.312,260.428,0.178,-0.014,0.195
"4-8","Female","PH","Psychiatry",2016,28.23,9.693,96.783,291.722,0.15,0.026,0.12
"4-8","Female","PH","Psychiatry",2017,33.19,10.482,96.232,344.85,0.175,-0.006,0.182
"4-8","Female","PH","Radiology",2014,16.48,4.452,63.828,258.157,0,0,0
"4-8","Female","PH","Radiology",2015,17.97,4.739,67.183,267.407,0.09,0.053,0.036
"4-8","Female","PH","Radiology",2016,15.89,4.871,63.597,249.819,-0.116,-0.053,-0.066
"4-8","Female","PH","Radiology",2017,16.7,4.974,66.562,250.959,0.051,0.047,0.005
"4-8","Female","PH","Surgical",2014,55.74,15.531,328.701,169.582,0,0,0
"4-8","Female","PH","Surgical",2015,57.27,16.3,340.769,168.062,0.027,0.037,-0.009
"4-8","Female","PH","Surgical",2016,58.11,17.306,344.766,168.546,0.015,0.012,0.003
"4-8","Female","PH","Surgical",2017,58.16,17.212,354.319,164.153,0.001,0.028,-0.026
"4-8","Female","RX","All Prescription Drugs",2014,186.61,45.998,130.3,1432.18,0,0,0
"4-8","Female","RX","All Prescription Drugs",2015,197.21,45.515,141.121,1397.42,0.057,0.083,-0.024
"4-8","Female","RX","All Prescription Drugs",2016,199.45,45.149,147.237,1354.61,0.011,0.043,-0.031
"4-8","Female","RX","All Prescription Drugs",2017,217.09,44.88,161.537,1343.91,0.088,0.097,-0.008
"4-8","Female","RX","Anti-Infectives",2014,37.02,13.616,137.308,269.627,0,0,0
"4-8","Female","RX","Anti-Infectives",2015,35.86,13.652,132.106,271.425,-0.031,-0.038,0.007
"4-8","Female","RX","Anti-Infectives",2016,34.75,13.848,127.744,272.029,-0.031,-0.033,0.002
"4-8","Female","RX","Anti-Infectives",2017,39.39,14.801,145.253,271.176,0.134,0.137,-0.003
"4-8","Female","RX","Antihistamines",2014,0.8,0.366,32.749,24.284,0,0,0
"4-8","Female","RX","Antihistamines",2015,0.81,0.378,32.279,25.002,0.015,-0.014,0.03
"4-8","Female","RX","Antihistamines",2016,0.8,0.389,33.909,23.567,-0.01,0.051,-0.057
"4-8","Female","RX","Antihistamines",2017,0.66,0.326,28.6,22.987,-0.177,-0.157,-0.025
"4-8","Female","RX","Autonomic",2014,19.98,5.101,193.706,103.162,0,0,0
"4-8","Female","RX","Autonomic",2015,24.77,5.574,239.779,103.322,0.24,0.238,0.002
"4-8","Female","RX","Autonomic",2016,27.12,5.646,279.377,97.087,0.095,0.165,-0.06
"4-8","Female","RX","Autonomic",2017,23.4,5.145,251.022,93.202,-0.137,-0.101,-0.04
"4-8","Female","RX","Bio Response Modifiers",2014,0.61,0.019,6444.53,0.095,0,0,0
"4-8","Female","RX","Bio Response Modifiers",2015,0.62,0.007,7340.66,0.084,0.011,0.139,-0.113
"4-8","Female","RX","Bio Response Modifiers",2016,0.62,0,7945.12,0.078,-0.001,0.082,-0.077
"4-8","Female","RX","Bio Response Modifiers",2017,0.64,0,7351.13,0.087,0.041,-0.075,0.125
"4-8","Female","RX","Blood",2014,1.33,0.03,2022.7,0.659,0,0,0
"4-8","Female","RX","Blood",2015,1.35,0.022,1614.88,0.837,0.013,-0.202,0.269
"4-8","Female","RX","Blood",2016,1.83,0.038,1748.4,1.048,0.356,0.083,0.252
"4-8","Female","RX","Blood",2017,3,0.06,2718.62,1.103,0.636,0.555,0.052
"4-8","Female","RX","Cardiovascular",2014,0.98,0.262,37.308,26.205,0,0,0
"4-8","Female","RX","Cardiovascular",2015,0.7,0.215,26.391,26.499,-0.285,-0.293,0.011
"4-8","Female","RX","Cardiovascular",2016,0.91,0.221,35.36,25.633,0.296,0.34,-0.033
"4-8","Female","RX","Cardiovascular",2017,2.19,0.261,80.321,27.315,1.421,1.272,0.066
"4-8","Female","RX","Central Nervous System",2014,31.97,6.879,156.54,204.222,0,0,0
"4-8","Female","RX","Central Nervous System",2015,33.58,6.433,169.94,197.613,0.05,0.086,-0.032
"4-8","Female","RX","Central Nervous System",2016,33.25,6.168,170.597,194.896,-0.01,0.004,-0.014
"4-8","Female","RX","Central Nervous System",2017,33.63,6.185,170.285,197.462,0.011,-0.002,0.013
"4-8","Female","RX","Chemotherapy",2014,3.15,0.139,663.797,4.746,0,0,0
"4-8","Female","RX","Chemotherapy",2015,4.44,0.177,788.794,5.631,0.41,0.188,0.186
"4-8","Female","RX","Chemotherapy",2016,4.96,0.196,860.119,5.77,0.117,0.09,0.025
"4-8","Female","RX","Chemotherapy",2017,4.79,0.172,880.261,5.442,-0.035,0.023,-0.057
"4-8","Female","RX","Devices",2014,1.69,0.736,69.431,24.285,0,0,0
"4-8","Female","RX","Devices",2015,2.04,0.808,77.121,26.482,0.211,0.111,0.09
"4-8","Female","RX","Devices",2016,2.29,0.835,88.699,25.816,0.121,0.15,-0.025
"4-8","Female","RX","Devices",2017,2.44,0.645,111.544,21.856,0.065,0.258,-0.153
"4-8","Female","RX","Diagnostic",2014,3.14,0.356,266.09,11.787,0,0,0
"4-8","Female","RX","Diagnostic",2015,3.04,0.344,270.439,11.223,-0.032,0.016,-0.048
"4-8","Female","RX","Diagnostic",2016,2.81,0.296,271.256,10.36,-0.074,0.003,-0.077
"4-8","Female","RX","Diagnostic",2017,2.73,0.309,293.992,9.277,-0.029,0.084,-0.104
"4-8","Female","RX","EENT",2014,12.42,5.059,80.023,155.183,0,0,0
"4-8","Female","RX","EENT",2015,12.23,4.698,96.195,127.139,-0.015,0.202,-0.181
"4-8","Female","RX","EENT",2016,11.25,4.281,104.053,108.093,-0.08,0.082,-0.15
"4-8","Female","RX","EENT",2017,10.16,3.86,97.885,103.799,-0.097,-0.059,-0.04
"4-8","Female","RX","Enzymes",2014,0.66,0.002,10810.98,0.061,0,0,0
"4-8","Female","RX","Enzymes",2015,0.92,0.018,11166.84,0.082,0.38,0.033,0.336
"4-8","Female","RX","Enzymes",2016,0.3,0.001,11952.62,0.025,-0.672,0.07,-0.693
"4-8","Female","RX","Enzymes",2017,0.98,0.003,25968.83,0.038,2.255,1.173,0.498
"4-8","Female","RX","Gastrointestinal",2014,5.49,1.249,110.923,49.497,0,0,0
"4-8","Female","RX","Gastrointestinal",2015,5.91,1.264,119.512,49.465,0.077,0.077,-0.001
"4-8","Female","RX","Gastrointestinal",2016,5.73,1.157,122.556,46.777,-0.03,0.025,-0.054
"4-8","Female","RX","Gastrointestinal",2017,5.91,1.116,123.342,47.928,0.031,0.006,0.025
"4-8","Female","RX","Heavy Metal Antagonists",2014,0.51,0.024,2475.69,0.205,0,0,0
"4-8","Female","RX","Heavy Metal Antagonists",2015,0.64,0.021,2689.29,0.237,0.256,0.086,0.157
"4-8","Female","RX","Heavy Metal Antagonists",2016,0.93,0.016,3713.18,0.252,0.467,0.381,0.063
"4-8","Female","RX","Heavy Metal Antagonists",2017,0.96,0.031,4530.92,0.212,0.028,0.22,-0.157
"4-8","Female","RX","Hormones",2014,15.65,2.257,262.747,59.561,0,0,0
"4-8","Female","RX","Hormones",2015,18.35,2.182,307.84,59.619,0.173,0.172,0.001
"4-8","Female","RX","Hormones",2016,18.83,2.158,333.378,56.495,0.026,0.083,-0.052
"4-8","Female","RX","Hormones",2017,20.47,2.12,368.822,55.504,0.087,0.106,-0.018
"4-8","Female","RX","Metabolic",2014,1.75,0.092,306.863,5.705,0,0,0
"4-8","Female","RX","Metabolic",2015,1.31,0.098,212.143,6.187,-0.25,-0.309,0.085
"4-8","Female","RX","Metabolic",2016,1.41,0.093,215.104,6.572,0.077,0.014,0.062
"4-8","Female","RX","Metabolic",2017,1.36,0.092,192.417,7.051,-0.04,-0.105,0.073
"4-8","Female","RX","Miscellaneous",2014,4.48,0.473,64.131,69.911,0,0,0
"4-8","Female","RX","Miscellaneous",2015,4.27,0.442,59.598,71.572,-0.049,-0.071,0.024
"4-8","Female","RX","Miscellaneous",2016,4.66,0.393,65.191,71.512,0.093,0.094,-0.001
"4-8","Female","RX","Miscellaneous",2017,5.3,0.342,75.709,69.961,0.136,0.161,-0.022
"4-8","Female","RX","Respiratory",2014,28.96,5.695,112.775,256.822,0,0,0
"4-8","Female","RX","Respiratory",2015,30.05,5.455,118.236,254.169,0.038,0.048,-0.01
"4-8","Female","RX","Respiratory",2016,30.48,5.553,122.953,247.865,0.014,0.04,-0.025
"4-8","Female","RX","Respiratory",2017,41.44,5.591,167.748,247.041,0.36,0.364,-0.003
"4-8","Female","RX","Rheumatoid Arthritis",2014,2.95,0.203,1920.02,1.538,0,0,0
"4-8","Female","RX","Rheumatoid Arthritis",2015,4.02,0.213,2642.37,1.522,0.363,0.376,-0.01
"4-8","Female","RX","Rheumatoid Arthritis",2016,4.77,0.252,3048.49,1.566,0.187,0.154,0.029
"4-8","Female","RX","Rheumatoid Arthritis",2017,6.75,0.304,3949.09,1.708,0.413,0.295,0.091
"4-8","Female","RX","Skin",2014,11.97,2.906,130.799,91.509,0,0,0
"4-8","Female","RX","Skin",2015,11.04,2.988,125.916,87.675,-0.078,-0.037,-0.042
"4-8","Female","RX","Skin",2016,10.4,3.059,122.464,84.916,-0.058,-0.027,-0.031
"4-8","Female","RX","Skin",2017,9.6,2.983,113.055,84.924,-0.077,-0.077,0
"4-8","Female","RX","Smooth Muscle Relaxants",2014,0.25,0.091,39.631,6.277,0,0,0
"4-8","Female","RX","Smooth Muscle Relaxants",2015,0.27,0.086,43.258,6.258,0.088,0.092,-0.003
"4-8","Female","RX","Smooth Muscle Relaxants",2016,0.21,0.077,38.43,5.428,-0.229,-0.112,-0.133
"4-8","Female","RX","Smooth Muscle Relaxants",2017,0.22,0.07,40.605,5.3,0.032,0.057,-0.024
"4-8","Female","RX","Vaccines",2014,0.08,0.01,381.215,0.203,0,0,0
"4-8","Female","RX","Vaccines",2015,0.13,0.024,540.947,0.246,0.715,0.419,0.209
